Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,68 Studley St,2,h,,SS,Jellis,3/9/2016,2.5,3067,2,1,1,126,,,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019
Abbotsford,25 Bloomburg St,2,h,1035000,S,Biggin,4/2/2016,2.5,3067,2,1,0,156,79,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019
Abbotsford,18/659 Victoria St,3,u,,VB,Rounds,4/2/2016,2.5,3067,3,2,1,0,,,Yarra City Council,-37.8114,145.0116,Northern Metropolitan,4019
Abbotsford,5 Charles St,3,h,1465000,SP,Biggin,4/3/2017,2.5,3067,3,2,0,134,150,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019
Abbotsford,40 Federation La,3,h,850000,PI,Biggin,4/3/2017,2.5,3067,3,2,1,94,,,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019
Abbotsford,55a Park St,4,h,1600000,VB,Nelson,4/6/2016,2.5,3067,3,1,2,120,142,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan,4019
Abbotsford,16 Maugie St,4,h,,SN,Nelson,6/8/2016,2.5,3067,3,2,2,400,220,2006,Yarra City Council,-37.7965,144.9965,Northern Metropolitan,4019
Abbotsford,53 Turner St,2,h,,S,Biggin,6/8/2016,2.5,3067,4,1,2,201,,1900,Yarra City Council,-37.7995,144.9974,Northern Metropolitan,4019
Abbotsford,99 Turner St,2,h,,S,Collins,6/8/2016,2.5,3067,3,2,1,202,,1900,Yarra City Council,-37.7996,144.9989,Northern Metropolitan,4019
Abbotsford,129 Charles St,2,h,941000,S,Jellis,7/5/2016,2.5,3067,2,1,0,181,,,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019
Abbotsford,124 Yarra St,3,h,1876000,S,Nelson,7/5/2016,2.5,3067,4,2,0,245,210,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019
Abbotsford,121/56 Nicholson St,2,u,,PI,Biggin,7/11/2016,2.5,3067,2,2,1,4292,82,2009,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,17 Raphael St,4,h,,W,Biggin,7/11/2016,2.5,3067,6,2,0,230,147,1860,Yarra City Council,-37.8066,144.9936,Northern Metropolitan,4019
Abbotsford,98 Charles St,2,h,1636000,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019
Abbotsford,217 Langridge St,3,h,1000000,S,Jellis,8/10/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,18a Mollison St,2,t,745000,S,Jellis,8/10/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,6/241 Nicholson St,1,u,300000,S,Biggin,8/10/2016,2.5,3067,1,1,1,0,,,Yarra City Council,-37.8008,144.9973,Northern Metropolitan,4019
Abbotsford,10 Valiant St,2,h,1097000,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019
Abbotsford,403/609 Victoria St,2,u,542000,S,Dingle,8/10/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,2 Rich St,2,h,,SP,Biggin,10/12/2016,2.5,3067,2,1,1,176,80,1925,Yarra City Council,-37.7998,144.9972,Northern Metropolitan,4019
Abbotsford,25/84 Trenerry Cr,2,u,760000,SP,Biggin,10/12/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,106/119 Turner St,1,u,481000,SP,Purplebricks,10/12/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,411/8 Grosvenor St,2,u,700000,VB,Jellis,12/11/2016,2.5,3067,2,2,1,0,,,Yarra City Council,-37.811,145.0067,Northern Metropolitan,4019
Abbotsford,40 Nicholson St,3,h,1350000,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019
Abbotsford,123/56 Nicholson St,2,u,750000,S,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,1985000,S,Biggin,12/11/2016,2.5,3067,,,,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019
Abbotsford,13/84 Trenerry Cr,1,u,500000,S,Biggin,12/11/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,45 William St,2,h,1172500,S,Biggin,13/8/2016,2.5,3067,2,1,1,195,,,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019
Abbotsford,7/20 Abbotsford St,1,u,441000,SP,Greg,14/5/2016,2.5,3067,1,1,1,0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,16 William St,2,h,1310000,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019
Abbotsford,16/11 Nicholson St,3,u,,PI,Philip,16/4/2016,2.5,3067,3,2,2,0,129,2010,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,42 Henry St,3,h,1200000,S,Jellis,16/7/2016,2.5,3067,3,2,1,113,110,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,250 Langridge St,2,t,847000,S,Jellis,16/7/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,16b Mollison St,2,h,,PI,Biggin,16/7/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,78 Yarra St,3,h,1176500,S,LITTLE,16/7/2016,2.5,3067,2,1,1,138,105,1890,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955000,S,Collins,17/9/2016,2.5,3067,3,1,0,183,,,Yarra City Council,-37.8022,144.9975,Northern Metropolitan,4019
Abbotsford,42 Valiant St,2,h,890000,S,Biggin,17/9/2016,2.5,3067,2,1,1,150,73,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,3/72 Charles St,4,h,1330000,PI,Kay,18/3/2017,2.5,3067,4,2,2,780,135,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,1/1 Mayfield St,3,h,,SP,Nelson,18/3/2017,2.5,3067,3,2,1,119,167,2005,Yarra City Council,-37.8082,144.9999,Northern Metropolitan,4019
Abbotsford,13/11 Nicholson St,3,t,900000,S,Beller,18/3/2017,2.5,3067,3,2,2,0,,2010,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,138/56 Nicholson St,3,u,1090000,S,Jellis,18/3/2017,2.5,3067,3,2,2,4290,27,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,6/219 Nicholson St,2,u,500000,S,Collins,18/6/2016,2.5,3067,2,1,1,0,60,1970,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019
Abbotsford,52a William St,2,h,1100000,PI,Biggin,18/6/2016,2.5,3067,2,2,1,124,135,2013,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019
Abbotsford,49 Park St,2,h,1315000,S,Marshall,19/11/2016,2.5,3067,2,1,0,147,85,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,65/80 Trenerry Cr,1,u,480000,S,Biggin,19/11/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,119/52 Nicholson St,1,u,423500,S,hockingstuart,22/5/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,8b Park St,4,h,,PI,Biggin,22/5/2016,2.5,3067,,,,,,,Yarra City Council,-37.8092,144.9941,Northern Metropolitan,4019
Abbotsford,5/20 Abbotsford St,1,u,426000,SP,Greg,22/8/2016,2.5,3067,1,1,1,0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,48 Abbotsford St,3,h,1447500,PI,Nelson,22/8/2016,2.5,3067,3,3,1,166,174,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019
Abbotsford,116/56 Nicholson St,1,u,457000,S,Jellis,22/8/2016,2.5,3067,1,1,1,0,50,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,159 Park St,2,h,1135000,S,Nelson,22/8/2016,2.5,3067,2,2,2,98,128,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019
Abbotsford,49/84 Trenerry Cr,2,h,700000,S,Biggin,23/4/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,31 Turner St,4,h,1542000,S,Collins,24/9/2016,2.5,3067,4,3,1,0,,,Yarra City Council,-37.7994,144.9965,Northern Metropolitan,4019
Abbotsford,17/1 Abbot St,3,t,962000,SP,Jellis,25/2/2017,2.5,3067,,,,,,,Yarra City Council,-37.7972,144.9969,Northern Metropolitan,4019
Abbotsford,166 Gipps St,3,h,1290000,S,Biggin,25/2/2017,2.5,3067,3,2,2,147,18,,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,60 Stafford St,3,h,1290000,S,Biggin,25/2/2017,2.5,3067,3,1,1,168,124,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,11/205 Gipps St,1,u,470000,S,Nelson,26/7/2016,2.5,3067,1,1,1,0,50,2013,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,47 Studley St,2,h,1180000,S,Jellis,27/11/2016,2.5,3067,2,1,0,162,91,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,45 Yarra St,3,h,1195000,SP,Jellis,27/11/2016,2.5,3067,3,2,1,120,128,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019
Abbotsford,4/328 Johnston St,2,u,,PI,Biggin,28/5/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,200 Nicholson St,2,h,1012500,S,Nelson,28/5/2016,2.5,3067,2,1,0,182,82,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,82/84 Trenerry Cr,2,u,970000,SP,Biggin,28/5/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Abbotsford,27 Charles St,2,h,1030000,S,Biggin,30/7/2016,2.5,3067,2,1,1,172,81,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019
Abbotsford,22 Park St,4,h,,W,Biggin,30/7/2016,2.5,3067,,,,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019
Abbotsford,40/80 Trenerry Cr,3,h,927000,S,Biggin,30/7/2016,2.5,3067,,,,,,,Yarra City Council,,,Northern Metropolitan,4019
Airport West,154 Halsey Rd,3,t,840000,PI,Nelson,3/9/2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,730000,VB,Nelson,3/12/2016,13.5,3042,3,2,1,0,145,1965,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464
Airport West,50 Bedford St,3,h,770000,SP,Nelson,4/3/2017,13.5,3042,3,2,1,0,145,1965,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464
Airport West,5 Harrington Rd,3,h,,S,Brad,4/3/2017,13.5,3042,3,1,1,580,114,1960,Moonee Valley City Council,-37.7235,144.8736,Western Metropolitan,3464
Airport West,23 Hart St,2,h,603000,S,Nelson,4/3/2017,13.5,3042,2,1,1,272,84,1950,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,t,700000,S,Brad,4/3/2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,h,600000,S,Maddison,4/3/2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,u,500000,VB,Barry,4/3/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464
Airport West,4/9 West Ct,2,t,420000,VB,Barry,4/6/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,1/36 York St,3,t,500000,VB,Nelson,4/6/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,33 Bowes Av,5,h,1035000,S,Airport,6/8/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,89 Bowes Av,4,h,960000,S,Barry,6/8/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,45 Laurence Av,4,h,960000,S,Nelson,6/8/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,54 Marshall Rd,3,h,720000,S,Barry,6/8/2016,13.5,3042,2,1,1,620,,,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,h,785000,S,Considine,6/8/2016,13.5,3042,3,1,2,597,127,,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,h,725000,SP,Barry,7/5/2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,t,450000,S,Barry,7/5/2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464
Airport West,3/19 Hart St,2,u,515000,S,Barry,7/11/2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464
Airport West,81a Roberts Rd,3,h,680000,VB,Nelson,8/10/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,u,530000,S,Nelson,10/9/2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,h,895000,PI,Rendina,10/9/2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464
Airport West,3/24 Elstone Av,3,u,600000,VB,Nelson,10/9/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464
Airport West,37a North St,3,t,760000,PI,Barry,10/12/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11/2/2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464
Airport West,1/69 Bowes Av,3,u,580000,VB,Nelson,12/11/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,2/9 El Reno Cr,3,h,725000,PI,Ray,12/11/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,92 McNamara Av,4,h,758000,S,Jellis,13/8/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,145a Victory Rd,2,u,440000,S,Barry,13/8/2016,13.5,3042,2,1,1,192,,,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464
Airport West,20 Creswell Av,3,h,970000,S,Barry,14/5/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,241 Parer Rd,5,h,755000,PI,Propertyau,14/5/2016,13.5,3042,3,2,2,596,,,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan,3464
Airport West,71 Bowes Av,4,h,985000,S,Barry,15/10/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15/10/2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464
Airport West,2/112 Parer Rd,2,u,509500,SP,Nelson,15/10/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,180 Parer Rd,3,h,830000,S,Barry,16/4/2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16/7/2016,13.5,3042,2,1,1,164,,2003,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,3464
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,16/7/2016,13.5,3042,3,2,2,657,,,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan,3464
Airport West,174 Parer Rd,2,h,675000,S,Barry,16/7/2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16/7/2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464
Airport West,75 King St,3,h,910000,S,McDonald,17/9/2016,13.5,3042,3,1,1,775,,,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17/9/2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464
Airport West,7 McNamara Av,3,h,715000,S,Barry,17/9/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18/3/2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18/3/2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464
Airport West,106 Parer Rd,3,h,790000,S,Nelson,18/3/2017,13.5,3042,3,1,3,614,,,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan,3464
Airport West,1/41 Hillside Gr,2,t,460000,VB,Nelson,18/6/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18/6/2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464
Airport West,37 North St,3,t,825000,SP,Barry,19/11/2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22/5/2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464
Airport West,7/42 York St,3,u,445000,S,Brad,22/5/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,110 Halsey Rd,3,h,805000,S,Barry,22/8/2016,13.5,3042,3,1,1,623,,,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464
Airport West,2/13 North St,2,u,510000,S,Nelson,22/8/2016,13.5,3042,2,1,1,141,76,,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464
Airport West,105a Victory Rd,3,h,612000,S,Nelson,22/8/2016,13.5,3042,3,2,1,212,,,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23/4/2016,13.5,3042,3,1,2,612,,,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,24/9/2016,13.5,3042,4,3,2,532,,,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464
Airport West,2/89 Marshall Rd,3,u,,VB,Barry,25/2/2017,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Airport West,33 North St,3,h,720000,PI,Nelson,25/2/2017,13.5,3042,3,1,1,585,,,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464
Airport West,4/40 McNamara Av,2,u,474000,PI,Barry,26/7/2016,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
